<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JNJ.US,5,20240530,201500,145.27,145.275,145.1701,145.215,17029,0
JNJ.US,5,20240530,202000,145.215,145.275,145.2,145.24,19892,0
JNJ.US,5,20240530,202500,145.25,145.29,145.2,145.2,21848,0
JNJ.US,5,20240530,203000,145.21,145.26,145.1926,145.235,26782,0
JNJ.US,5,20240530,203500,145.235,145.28,145.2,145.25,91326,0
JNJ.US,5,20240530,204000,145.24,145.27,145.19,145.255,64015,0
JNJ.US,5,20240530,204500,145.26,145.3299,145.22,145.24,16021,0
JNJ.US,5,20240530,205000,145.235,145.3164,145.22,145.24,23119,0
JNJ.US,5,20240530,205500,145.23,145.375,145.23,145.34,26646,0
JNJ.US,5,20240530,210000,145.34,145.43,145.33,145.36,25869,0
JNJ.US,5,20240530,210500,145.36,145.3667,145.25,145.26,23606,0
JNJ.US,5,20240530,211000,145.265,145.395,145.265,145.38,30153,0
JNJ.US,5,20240530,211500,145.37,145.53,145.35,145.41,46745,0
JNJ.US,5,20240530,212000,145.43,145.53,145.41,145.4862,37341,0
JNJ.US,5,20240530,212500,145.49,145.55,145.44,145.5,30839,0
JNJ.US,5,20240530,213000,145.51,145.61,145.48,145.56,35575,0
JNJ.US,5,20240530,213500,145.58,145.59,145.38,145.42,38171,0
JNJ.US,5,20240530,214000,145.4225,145.47,145.38,145.42,54070,0
JNJ.US,5,20240530,214500,145.41,145.55,145.4001,145.52,74972,0
JNJ.US,5,20240530,215000,145.48,145.51,145.25,145.33,111677,0
JNJ.US,5,20240530,215500,145.32,145.42,145.19,145.28,1244005,0
JNJ.US,5,20240531,153000,145.57,145.95,145.19,145.82,146041,0
JNJ.US,5,20240531,153500,145.825,145.97,145.76,145.79,28386,0
JNJ.US,5,20240531,154000,145.77,146.01,145.665,145.88,58176,0
JNJ.US,5,20240531,154500,145.9,146,145.56,145.56,32107,0
